,From,Exist
2687,0xb10f05709f9cbe6e80d45ef50acc5ae4089f4828,left_only
2688,0x3ca06c36d7449073f43edc87b6fdcab3f7b55fab,left_only
2689,0xa1bb3c7e6d62f22fb383a1606fc57fe2e6bb6be7,left_only
2690,0xef3cf1eb36905ab184a14eae5c1cd63d322684a4,left_only
2691,0x10356f393b358aa9cc2d553063282eb548861d49,left_only
2692,0xae87da3b2d5316b9678fb9dedc7c83f3a03a222c,left_only
2693,0x88a2aeddc7bdf720dcc43df9ab124fc377cff356,left_only
2694,0xa631231d184befad072935583fab936fcd06c8c5,left_only
2695,0x5133025d05cbf2a1c9b8f43ed81ea248a807f881,left_only
2696,0x61ff37460c469e712bb553187c2540d2890d38e9,left_only
2697,0xe24fbe2f6e587b8220e7b91474057df1806fffa5,left_only
2698,0x3ed588a3de7251e4064ff05bf5c8652f628c88b3,left_only
2699,0xb086f565e48a2b97c12ca45b9b6ad7e90ebe9f68,left_only
2700,0xe6abd101861438ff5307f361647d6a46165548a4,left_only
2701,0x005d776301649e234c0fff584fafb47d4ccc1ca9,left_only
2702,0x9341d743200d45b32f6e65fd9ced9d95e30ededb,left_only
2703,0x3e51324760e41ab47ee9828c513dd89ee9466c78,left_only
2704,0x6812d073313f92bf315e961b06e816aa96a7309e,left_only
2705,0xcde37e66c953a07a6314c39c4e44a1144007afdc,left_only
2706,0xf90fdd6bfd90aa47651d02b16f49097b3fee3f1f,left_only
2707,0xde9e59e9cae1935762b7ecb56ef0ac57dc29cc13,left_only
2708,0x764dd10a90051e3299c88356457d01df02ca2e6c,left_only
2709,0x4578e73fd79e55bb77b77b85b0dc8d0cbe33696b,left_only
2710,0x5ea85e09a036664f2b64461108773ddd35e062f0,left_only
2711,0xd761b97d8dbaaf908fdf6004b088d16e63aa9222,left_only
2712,0x2612caeb7a04c5b8f7870bb29a64ef21ff7ee3ef,left_only
2713,0xa11ef67d18f706c70cbaafbc1ebfced085d431c5,left_only
2714,0xfb95e718d5f7ff67e2b57dae6baeebdf6f27211f,left_only
2715,0xf6d1dac85cf6e17e6d2cb84d6fb4a795a32a8cb5,left_only
2716,0xa49f0a645f6d49b252fb6e5ac685972dee47363c,left_only
2717,0x992d6a552079334722ba3fcef618dcc61f5cadf5,left_only
2718,0x96b2dc5fa9ddfdf1b73b7ee54bab50db3dc0c83b,left_only
2719,0x1eb3162901545cb116b780f3456186b5d1396142,left_only
2720,0x34369dd9da1cddcc0a23838ce8dc341ea56f8c84,left_only
2721,0xb135e2e1bb0977287b27d7a5cccdb74e8c2b0ef1,left_only
2722,0x60382d4e97e6db6be88b6466ae06488aaed46bbb,left_only
2723,0x3fd8dacd937c686b7edf6975cafca5c4bd8fe7d2,left_only
2724,0xbc278f583d7bcf354fed5c6f690200b7d15c558b,left_only
2725,0xb16478a432a0377f49e6b6b0e0fe322b07b33972,left_only
2726,0x6f949c1403c34f15ba101a515bd7a9a44f6058ef,left_only
2727,0xda2f80295cf2252c58c8a4b9584931e911aaa04e,left_only
2728,0xb842e41241159d7e99069020323fd501e07fa223,left_only
2729,0x86ea3a71f0dab26a6f62530b4cd93078314095b4,left_only
2730,0xdb4eca4df23692739362c20be5d9fd118c574867,left_only
2731,0x18dc68b456dc4c76058e0152e22fe461c85e8a1a,left_only
2732,0xe3da7de84a00dc16d3097f09c35cdcdd9a2491c9,left_only
2733,0x5fdf59e7fa5749e1ed8289ebd2c834af5b89b889,left_only
2734,0x9c35e000ccfae556afc54241d30b943a65d7df69,left_only
2735,0x16b91bfbbcfcad04ed91dfd89a0f9c30a71c309b,left_only
2736,0xd28d3ccbbe62a5d63ba1c7df47815463e431ef57,left_only
2737,0x6b80ef5b9b97b1736099815285418939a5bf4125,left_only
2738,0x9226ba2b46e1239bc2bfce56266f7180f80c6e84,left_only
2739,0x685157e0624b779db621c407041814d1763ec007,left_only
2740,0xa41741ec09b621a96057753d3a27b87a50c30a98,left_only
2741,0x97743aa41dfaf6ebf8e1f532fa9d5b08f110f372,left_only
2742,0x4d80a51610193a1206d2446643a5a07f579fda49,left_only
2743,0xafabdf1c886235cd926d608b42c9debd452180a3,left_only
2744,0xc94a5572053b0b3cefd9097deabafc31ee85a61d,left_only
2745,0x8410c2d7ae1d0eebc4df0b638661a6d5e9d69332,left_only
2746,0xbaf95918df452f9f37368275fe329dfc42c0edd0,left_only
2747,0xe374792a4853845d73f73e9fdab57f3a80b931f0,left_only
2748,0xab8ee0687e88d5fecf0c1362c237c428f7a3bab1,left_only
2749,0xb7053d59b98854d7e15058e6b3016a7c1cb11f85,left_only
2750,0x72515452db16e9cdc1e6f1841fc6e07fab81c195,left_only
2751,0xd0678b30e2450bd73c9ec2e18f7762384386e95e,left_only
2752,0x1270a0aad453a315c5ab99397d88121c34453eb4,left_only
2753,0x192232a7141f94eeae3dbdc2bb0b8b669c17d6bc,left_only
